NAME,COST,TWISTED,DESCRIPTION,ID
SYLENE’S CRYSTAL,500,NO,"A delicate, ornate steel wand with a single inlaid gem at the tip. The color of the gemstone determines the bonus: • Rose: +2 FOCUS • Yellow: +2 CREATIVITY • Royal Blue: +2 LOGIC • Vermillion: +2 INSIGHT • Cloudy White: +2 BODY • Multicolor: +2 CHARM",wand_2RZW9fXgJBieK
CHAMPION’S WAND,500,NO,"A classic styled birch wand woven with griffin mane hair. Gives +2 to three different Abilities, chosen at creation.",wand_3R0kg9FlzAC3C
WHISPERED SECRETS,500,NO,"An untrimmed yew wand brushed with hellclaw sap and smoked over an enchanted flame, giving it a mysterious enchanted blackness that curls the bark in places, but is still smooth to the touch. It has an aura of ancient secrets. Gives +4 to a given Ability, chosen at creation.",wand_4DpI7oLQLoHGK
ODIN’S SIGHT,200,NO,"An untrimmed ash wand you can feel a connection to the earth through. While this wand is active, you can use it to gain one piece of magical insight into a person, place, object, or situation (AP2). This ability, once used, cannot be used again for 6 hours.",wand_5b298qUPs62LX
INDOMITABLE,200,NO,"A thick redwood wand reinforced with brass bands. While this wand is active, you have a +1 to all Resist checks.",wand_669grMtkfSxP3
MISTY VISION,200,NO,"A wand made from wisteria wood, with enchanted wisteria flowers at the tip that never wither. While this wand is active, you can use it to cast Minor Phantasm with a roll of 12. Once you do, the flowers close and take 3 hours to blossom again, at which point this ability refreshes.",wand_7yEGj1sIy28K2
NATURE’S PROTECTION,250,NO,"A rowanwood wand woven with a single unicorn hair that glints different colors in the light, a ward against evil. While this wand is active, you are immune to hexes.",wand_8oRHdx9DjwFJ3
WINTRY WILL,200,NO,"A delicate holly wand with an enchanted unmelting ice crystal set near the tip. While this wand is active, you are immune to cold, and you can use an action (AP1) to chill the air around you.",wand_9OOLx6S1wERv0
FARLAY’S WALL,250,NO,"A solid elderwood wand engraved with glowing protective runes that can shield you from harm. While this wand is active, you can use it to cast Barrier with a roll of 18. Once you do this, the runes stop glowing for 24 hours, and you cannot use the ability again until they restore.",wand_10Jy66Np9Lzsph
CELESTIAL HARMONY,500,NO,"A wand made of ivory—ethically sourced, of course—with a silver tip that emits a soothing hum when used. Gives a +4 to Tact checks and can be used as an action (2AP) to calm down a creature. Roll Creature against its Concentration, and on success, you calm it down, although it will likely still be wary and ready to become aggressive again at a provocation.",wand_11Z8kwsamLiIoj
EMERALD ENVY,400,NO,"A jade wand wrapped in precious lunar silver filaments, with two elegant leaves embossed into its silver base. Gives a +2 to Herbalism checks, and allows you to cast the spell Language of the Earth without rolling for it, even if you don’t know the spell, taking one degree of success on the spell.",wand_12hnXIXGFlbZ5S
HEARTWOOD,650,NO,"A wand made from passionoak, a rare red wood imbued with emotional power, said to be a symbol of love. Gives +4 to one Charm skill chosen at creation, and once per day, you can use it to soothe one non-Wound condition from somebody other than yourself. The wand must be active to use this ability.",wand_13ne2KetN0pu3N
ELEMENTALIST,500,NO,"A silvered wand with a ring of small gemstones set along the end, representing the natural elements. Grants a +2 to Evocation, and you can expend one of the 6 gems to take an extra +4 to a given Evocation spell. The wand regains any spent gems at daybreak.",wand_14s0bSTFGQnQSL
VOIDWEAVER,600,NO,"An ebony wand coated in hellclaw sap and set with a small clouded purple crystal. You can use it to summon a Cloak of Darkness that settles over a place (2AP), only able to be penetrated by magic light. You can only have one Cloak of Darkness at a time. When inside your Cloak of Darkness, you can take on an appearance of darkness, rendering you effectively invisible unless targeted with magic light.",wand_15YItHea1CjN9B
SPECTRAL WHISPER,700,NO,"A wand made of transparent crystal that’s permanently cool to the touch. While this wand is active, you can take a +2 bonus to Necromancy, and you can see and speak to ghostly spirits that are otherwise invisible. When in a place of death, like a graveyard, you can use this wand to summon one (AP3), although it might not be happy to be summoned.",wand_16FQXmxcAya1tA
MARQUEZ’S BATTERY,600,NO,"A wand made of clear crystal filled with a glowing blue liquid. The wand has 12 points of Surge, and you can spend as many as you like to add that number to a given spell check you make. The wand restores any spent points of Surge when you get a full night of sleep or take the Rest Downtime option.",wand_17P05njCoBvGdK
THUNDERING ROAR,550,NO,"A wand made from the bone of a giant beast, inlaid with its fangs at the tip, and a base cast in snatchknot resin. The wand can release a primal roar, giving a +6 to the Shatter spell, which you can cast whether you know it or not. You can increase the bonus to +10, but doing so damages the wand, reducing its condition by 100 materials.",wand_18s0KU564TQZPu
ARHELM’S TIMEPIECE,700,NO,"A burnished gold wand with an enchanted hourglass set near the tip. The wand gives +2 to Chronomancy, and you can use it (2AP) to give one of the following effects: • Give a target 3AP • Travel back in time as if using the spell Fabelyn’s Pen of Fate but only 15 seconds back • Let someone reroll any check once, but they must take the new roll • Gain an insight that you would be able to gain in 10 seconds • Slow time to 1/10th speed for you for 10 seconds (your time) • Once you’ve used any of these abilities, the hourglass flips, and takes one hour to empty, until which time you cannot use this ability again.",wand_19gf0yWvoST5FA
THE SEA KING’S WILL,650,NO,"A wand made of seashell, decorated with pearls and woven with a single mermaid’s hair. While this wand is active, you can breathe underwater and swim in any direction at the same speed you can walk, and you can see a short distance underwater even in complete darkness.",wand_20v1JnsGx5gaJL
STARLIGHT,500,NO,"A wand coated in lunar silver with a pale blue crystal set at the tip. While this wand is active, you take a +2 to Illusion, and you can summon and control up to three Starlights, glowing points of light that move at your command to a point you can see. You can leave them in one place out of sight, but you cannot command them unless they are in sight, except to recall them to your wand. If you combine the three into one point, you can make a blinding light that makes people roll Concentration versus your Illusion or be forced to look away.",wand_21wrHdfKDq3fUq
ELERY’S WAND OF STORMS,600,NO,"A wand made from the blackened wood of a lightning-struck tree with a jagged quartz crystal embedded in the base that appears to crackle. While this wand is active, you take no penalties from the weather, you can add +4 to any spells using elemental lightning, and you can change the weather. When you do, point your wand to the sky and shout out the name of the weather you want, and a peal of thunder sounds as the weather changes in a very contained area around you for one hour. The quartz in the wand stops crackling once you do for 24 hours, and you cannot use this ability again until you do.",wand_22TmAZ7vXnznZn
FROSTBITE,550,NO,"A wand made of enchanted unmelting ice with a hollywood grip. While this wand is active, you are immune to cold, and you can manipulate any ice around you as if it were an extension of your body. You can unleash a flash of freezing energy that freezes water around you, but after using this ability, it must spend 12 hours recharging.",wand_23Nceduw28Olae
KRISTJÁNSDÓTTIR’S BLOODDRINKER,650,NO,"A twisted blood-red wand made from the thorny branches of the snareleaf plant. While this wand is active, after making a spell check, you can take a Condition stack in exchange for replacing one of the dice of your choice with a 10. Improvement rolls are triggered with the original roll.",wand_24oTv2aEIoFdEZ
WINDRIDER,700,NO,"A wand made from lightweight sycamore engraved with symbols representing the wind, flight, and freedom. While this wand is active, take a +2 to Agility, the wind around you acts as an extension of your body, and you can use this ability to glide and fall from any height unharmed. The wand also grants 10 minutes of unrestrained flight at your running speed, which you can use all at once or split up between different uses. Any used flight magic is restored when you get a full night of sleep or take the Rest Downtime option.",wand_25PHBrp7FDShmL
SCHOLAR’S SCEPTER,600,NO,"An oversized ash wand with a dragon’s head carved into the end, wreathed with rare magical components. While active, this wand gives a +4 bonus to improvement and spell-learning rolls.",wand_26nPcVWGFVsAvR
DREAMER’S KISS,500,NO,"A thin wand made from ethereal moonstone and set with a pale pink crystal in the tip. While this wand is active, you take a +2 to Hypnomancy. In addition, you can hold it over a sleeping person to gain a vision of what they’re dreaming about, and you can use a magic charge to change their dream as if casting Dream Whispers with one degree of success. Once you have used this ability on someone, they must wake up and be asleep again before you can use it on them again.",wand_27II9Uo3NdV32N
IFRIT’S FIREWALKER,600,NO,"A wand formed from an enchanted, unbreaking salt pillar formed around an ifrit’s chain. While this wand is active, you are immune to heat, and fire cannot hurt you. You can raise your temperature and return it to normal at will, and you can use this to force anybody who touches you to roll Endurance versus DC15 or your Evocation (your choice) or Resist Wound.",wand_285j448wuVQTqJ
HERMES’ GIFT,500,NO,"A wand made from white plate with solid gold trim and a pair of spectral white angels’ wings. While this wand is active, you can use it to telepathically deliver a message to any willing target you’ve seen in person before, just by touching the wand. The wand also gives a +4 to Athletics checks to run swiftly.",wand_29PkaGXuvz49gu
LYSANDER’S BLACKCALL,600,NO,"A scorched-black wand made of coarse, burned feybough wood. Grants a +6 bonus to one spell, chosen at creation. It smells like burning fireplaces and Christmas spice, which is nice in December but makes you feel out of place in July.",wand_309DWrDVrthrZx
LUNARLIGHT GIFT,500,NO,"A wand of brushed cherrywood lined with thin stands of lunar silver filament. Whenever you cast a spell with this wand, you can choose to use up one of the lunar silver filaments on the wand, damaging this wand by 100 materials and increasing your degrees of success by 1. You can choose to use this ability even after seeing the results of the spell, but you cannot use it if your wand has less than 100 materials of condition remaining.",wand_31e0CenPCuEQnu
FABELYN’S EYE,650,NO,"An intricate, ornate wand inlaid with small, finely detailed brass ornaments that realign themselves based on incomprehensible signs from the immediate future, and they align when danger is near. While this wand is active, you can choose to take 4AP at the start of Action instead of rolling. Your GM may also give you warnings that you’re approaching danger when you have this wand equipped.",wand_32V4OGUsSm9B1F
MARWYN’S LAUGHTER,600,NO,"A wand made of enchanted redwood, brushed with pixie dust. While this wand is active, you can take a +4 to Stealth checks, Illusion spells, and Demonology spells any time your Trouble rank is above 0. The great mage Marwyn liked to cause problems. This eventually got him killed, but hopefully you’ll fare better.",wand_33xXsDdUFHqTtk
RAZOR INSTINCT,450,NO,"A wand made of thick, knotted magic wood felled by lightning and carved roughly by hand, that grants a deep connection to primal magics. While this wand is equipped, you can sense the presence of any magic user within five meters, even through walls, except through antimagic barriers. This works even on targets who are invisible, under nondetection, or in adjacent planes. The wand is larger than most and easy to notice, though, so anyone trying to sneak away from you might notice the giant stick you’ve got and will know to stay away.",wand_34LaF7ukumvVsb
STARBURST,650,NO,"A heavy, deeply ostentatious wand made of steel and feybough woven together in a volatile combination, with a brilliant crystal set in the end that lights up with the user’s competitive spirit. Grants a +4 bonus to all checks when the user is in a Duel. The drawback is that everyone knows you’re going to challenge them to a duel when you have this wand.",wand_3501QiDh9rZjo0
SAPHI’S SIGHT,650,NO,"A delicate wand made of lightweight fairy yew that blossoms with tiny spectral flowers when near magic plants. When this wand is active, you take a +2 to Herbalism, and you automatically succeed on any checks to identify a magic plant, though the GM may still ask you to roll to determine something unusual, like if a plant is a unique hybrid or if there’s something wrong with it. The wand does not tell you if it’s a good idea to eat the plant or not, just what the plant is. Proceed at your own risk.",wand_36n4qiL1YssleC
CLATHRA’S WALTZ,600,NO,"A sleek black wand made of extraplanar materials that shifts slowly with its tail-like tip, searching out its surroundings. When this wand is active, you can teleport freely as if using the Blink spell, but only two meters at a time, to a point you can see, so long as there is nothing in between you and the point you intend to teleport to. If you attempt to blink and something is in your way, you collide with the object and come out of your teleport, which can be a rough outcome for everyone involved if you don’t realize someone is invisible between you and the target and you try to blink through them.",wand_37XGySkNznxwMd
MONK’S PRAYER,400,NO,"A simple staff made of cedar, brushed with silk-snag resin, and carved into a symbol at the end unique to each Monk’s Prayer. When this wand is active, you can spend an hour casting a spell to add one degree of success to the spell, possibly changing a failure to a success. If you cast the spell as a ritual, it takes this bonus automatically.",wand_38MWlUC6H9loFX
BARON’S BURST,700,NO,"An ornate, detailed wand with a thick base wrapped in black gold leaf and fired with draconic flame. When this wand is active, your spells gain one degree of success on a critical success, as the ornate lines running along the wand light up with the surge of magic power.",wand_39rLBDE2oRjbIQ
JUMPING JACK,500,NO,"A balsam wand half carved in one plane and half carved in another, the wand is long and thin and quivers in your hand, ready to bounce across the planes. When this wand is active, you can touch it to a point on the ground and speak an activation phrase. Any time afterwards, you can speak the activation phrase again and instantly teleport to the point where you first activated it. Once the wand teleports, it must recharge for 24 hours before it can teleport again.",wand_408xsFvGBzybL5
KING’S SCEPTER,600,NO,"An ornate, gaudy wand lined with brilliant, colorful magic materials. While this wand is active, you can place enchantments on objects without having to spend the materials to do so, although enchanting on object with an Advanced or higher spell will still cost the amount of the spell itself.",wand_41bFOaGOjQHUrb
WITCHRUNNER,500,NO,"A classic for the Witches’ Run—hence the unoriginal name—this simple lunar silver wand glows with a faint violet light from the tip. While this wand is active, you can run at twice your regular speed and jump up to twice your height, and grants a +2 to Evocation, Athletics and Agility. However, when using this ability, the wand lights up with a brilliant glow and your steps sound like small lightning claps, so you won’t get anywhere stealthily.",wand_426D5eYo2nnyFI
CURSESTONE,550,NO,"A wand with a cold stone grip inlaid with dreadful sigils. While this wand is active, you can make a DC12 Resist roll to force somebody you can see to Resist a non-Wound condition of your choice, DC12. This is widely considered rude, though.",wand_43Ws8Wts56spey
STEELSKIN,700,NO,"A wand made of steelnose scales, always warm to the touch. While this wand is active, you can make a DC14 Endurance check, activating the wand’s inherent magic on success and tapping into a draconic transformation. You can transform yourself and one other person for each degree of success past the first for five minutes. While transformed, you are covered with a thin sheen of silvery scales that are warm to the touch, and you are immune to heat and can take a +10 to Endurance rolls, and Evocation spells cannot force you to Resist (except a backfire from your own). This move can backfire like a Standard spell.",wand_44PoaCXoEUuK2G
MOCKING WHISPERS,550,NO,"A beautiful whisperwood wand set with rose gold and carved symbols, it feels like it shimmers in your hand. While this wand is active, you can perfectly mimic any voice you’ve heard before. The wand will guide you to mimic that person’s speech patterns and vocal mannerisms as well, but it isn’t a guarantee: anyone who knows the mimicked person well can roll Read Person versus your Deception + 8, figuring out it’s a fake on success.",wand_45FvkhAXwjsKoj
ELERY’S HAND,650,NO,"A wand that doesn’t look like one, more like a brace fitted over the back of the hand and lined with spellsteel bands. While this wand is active, you can roll Evocation + 6 instead of Athletics to move objects you can touch, although you may lack finesse, and you can clench the hand and roll Evocation, DC15, creating a shockwave on success. Anyone hit by the shockwave must roll Endurance versus your spell check or be knocked down. This move can backfire like a Standard spell.",wand_46X8mwhx1CmS4U
THE MAW,500,NO,"A knotted hellclaw wand with a coarse grip that digs into your flesh if you grip it too hard, The Maw is a popular wand that feels like it becomes “a part of you” in a way that puts some people off. While this wand is active, you can take a +6 to all checks to metabolize potions. When you unequip this wand, you must Resist Loss, DC5, as it feels like pulling a part of yourself away.",wand_47xV4Y8whtXhaD
LI HUAN’S BELL,600,NO,"A pale silver wand with a fey crystal on the end that chimes like a small, soft bell. When this wand is active, you can roll Charm, DC5 at the end of any Downtime block, including sleeping at night. For each degree of success, you take one Blessing. Any time someone you can see is about to make a check, you can spend a Blessing by chiming the crystal at them. If you do, they take an extra degree of success on their check.",wand_48gxkY3SZy6p30
BLACKBANE,500,NO,"A hooked wand made of hellclaw and white-tipped seeker braided together and burned until black. While this wand is active, you can declare someone a Nemesis. When you have a declared Nemesis, you can spend half an hour with the wand to roll Tracking, DC5 and get one clue about their location per degree of success. You can take a +4 bonus to any roll that would cause your Nemesis to Resist. Once you have declared a Nemesis, you cannot declare a new one until you have unequipped this wand and equipped it again, at which point it loses its connection to the previous Nemesis, or until the Nemesis has been Downed.",wand_49X1HaIFI7c4v0
GOLDEN NEXUS,650,NO,"A heavy, brassy wand with a shimmering crystalline core in the tip that exudes deep, powerful magic. When this wand is active, Advanced spells only cost 300 materials to cast.",wand_50rEfgi3kMDbTL
STAFF OF THE SCRIBE,450,NO,"A large but simple wand, with a long oak body and a metal sculpture of an owl’s head on the end. While this wand is active, any rune with 4 or more glyphs takes half the time to create.",wand_51qnZtnSTr5Ke9
ENCHANTING BREATH,500,NO,"A delicate fairywood wand in pale lavender that seems to always shimmer with a magical, spectral dust. While this wand is active, any time you succeed to enchant an object, you can choose to make the enchantment permanent. Many people are disappointed by this wand, thinking it makes their breath smell good. Just lay off the garlic instead.",wand_52RMlh9p5CWm1Q
BRUTE,550,NO,"A deceptively delicate wand with a long, thin design with a lumini feather in the grip. While this wand is active, you can take a +2 to Athletics and Endurance. You can take an extra +6 to any Athletics or Endurance check, but doing so decreases the wand’s condition by 100 materials.",wand_53ns19kr9uoi7N
VALEY’S SIREN,500,NO,"A bright-red wand made of whisperwood, brushed with hellclaw sap and coated with powdered red draconic scales. While this wand is active, you cannot be detected with divination. If somebody attempts to cast a Divination spell that would detect you, it fails, and the wand alerts you psychically that somebody attempted it. The only problem is that it psychically warns you with what it thinks is a good sound to use, and sometimes it picks a bad one.",wand_54AjYvc4236UAL
GREEDRAT,700,NO,"A simple wand made of mahogany with a rat head carved at the end, with feylight crystals for eyes. While this wand is active, you can spend an hour touching upon its magic and roll Search, DC10, taking 100 materials per degree of success as it coalesces materials from across the interplanar continuum. You must Resist when you use this ability, DC10.",wand_55dMxlc0ZGiiqi
AELYN’S ARRAY,600,NO,"An intricate wand with a pure white crystal body and a deep violet grip that turns into a spectral, glowing array of starlight when held by its owner, this crystallomantic wand was only recently invented and has taken the world by storm, mostly because it’s pretty. While attuned to this wand, you can add 2 degrees of success to any spell to align with a type of crystal. All the magic influencers on TikTok have one.",wand_56x7WXVcPy3FEM
DEVIL’S THRESHER,500,NO,"A wand that looks a lot scarier than it is, with a jagged red body and a split at the end like a jaw lined with knifelike quartz “teeth,” it thirsts for ripping and tearing, but just, like, plants. While this wand is active, you automatically succeed on any check to harvest a magic plant at or under 1000 materials, as long as you’ve identified the plant.",wand_57bZqNZZ6u5H9v
EMBERWALL,550,NO,"An elegant white wand set with a piece of emberhorn antler, this wand emits a calming, soothing sensation. While this wand is active, you can take a +4 to any spell backfire, but the wand takes 50 materials’ worth of damage when you do, as the antler bone is slowly spent. If you fail a spell backfire, you can choose to take 250 materials’ worth of damage to the wand instead of taking a Condition stack.",wand_58wwRBiL0nQeTq
CLOUDLESS’ BASTION,600,NO,"A large, heavy wand with a thick, banded design and a single water wyrm scale at the base of a small cage at the tip of the wand, which captures magic energy and returns it, allowing practice without expending as many materials. While this wand is active, the material cost to learn a new spell is cut in half.",wand_59nu0R73aui5pJ
DREAMKISS,700,NO,"A deeply detailed and beautifully designed wand with a feylight crystal attached by a shimmery pink ribbon. While this wand is active, every time you go to sleep, you can cast any Advanced or lower spell you know as a Basic spell, and the spell will be cast slowly over the course of a night of sleep. You can’t know ahead of time when the spell effect will take hold, just that it will be sometime while you sleep, so maybe think twice about setting up a Greater Warp while you sleep.",wand_60SxBIgdRlSuxq
