NAME,LEVEL,DC,SUBJECT,STAT,RITUAL,VOLATILE,DESCRIPTION,HIGHER-LEVEL BEHAVIOR,ID
ARCANE INVERSION,STANDARD,N/A,ALCHEMY,CREATIVITY,NO,NO,"Turns a potion into a poison or vice-versa. Roll against the Intensity Rank of the target potion. On a success, you can change the potion or poison to its opposite, e.g. +3 Focus to -3 Focus. For properties without clear opposites, work with the GM to come up with an appropriate choice.",You can choose to increase or decrease the resulting potion or poison’s Intensity Rank by 1/degree.,spell_2ke8AZTWzIdM7
BREWER’S WREATH,STANDARD,13,ALCHEMY,CREATIVITY,NO,NO,"Choose three potions when you cast this spell. On success, these potions are converted into small glowing orbs of colored light which float in a ring around your head. At any time, you can launch one of them at somebody, including yourself, which counts as taking the potion associated (1AP). The target must roll to Metabolize as usual. If you use it on somebody who is currently metabolizing, they will become ill and gain no benefits from the potion. It is also considered “rude.”","The target can take a +1/degree bonus to their Metabolize roll. On 3 or more degrees of success, you can also convert poisons.",spell_3aQFebNqVorV5
IDENTIFYING LIGHT,BASIC,8,ALCHEMY,CREATIVITY,NO,NO,"Casts a pale light on a potion that reflects its composition. On success, you can ask the GM a question about the potion. You can only use this on a given potion once.",You may ask 1/degree question(s) about the potion.,spell_429y5rA0DfUG2
HARVESTER’S SIGHT,BASIC,5,ALCHEMY,CREATIVITY,NO,NO,"When you are in an area with natural materials, you can cast this spell to gain a wreath of small lavender lights in your irises. On success, you gain Harvester’s Sight, which will let you spend 10 minutes harvesting 50 materials from your surroundings. You can only use this spell once in any 24-hour period.",You can spend up to 10/degree minutes harvesting 50 materials per 10 minutes spent.,spell_5evsG9WBzoscn
WITHSTAND,STANDARD,12,ALCHEMY,CREATIVITY,NO,NO,"An enchantment that imbues somebody with the resolve of a potion drinker. On a success, the target can add a +2 to their next Metabolize roll in the next hour. Excessive use can cause diarrhea, which nobody wants.",The target can take a (2/3+) bonus to their Metabolize roll.,spell_6g3G3TCZBI6Jz
AUGMENT RECEPTIVITY,STANDARD,18,ALCHEMY,CREATIVITY,NO,NO,"A sparkling golden enchantment that boosts someone’s receptivity to potions. On a success, the target can add 1 to a Stat or Ability bonus received from the next potion they take. For potions that don’t give a numerical bonus, the GM will rule a bonus that makes sense or decide that it cannot apply to the potion.",The target adds (1/2/4/7/10) to the next potion bonus they receive. They can also take a +(0/0/1+) bonus to their Metabolize roll.,spell_7XtmGfgmIOvWz
EXTRA STOMACH,ADVANCED,22,ALCHEMY,CREATIVITY,NO,NO,"Cast this spell on someone who is currently metabolizing. On a success, the target can take a second potion, which will run its own Metabolize duration, at the end of which, the effect of the spell ends.","The target can take (1/1/2/2/2/3) extra potion(s), and takes a +(0/1/2/4+) bonus to the Metabolize roll on the new potion.",spell_8o9zhkwH2fjW3
CATEYE,BASIC,16,ALCHEMY,CREATIVITY,NO,NO,"You can cast this spell without rolling. Lights up your eyes with a golden, gleaming cat-eye effect for as long as you choose, during which time you can see if somebody is metabolizing a potion just by looking at them, as well as how much longer they have to metabolize it. You can choose to roll this spell to cast it subtly, hiding the cat-eye effect, but if you fail the roll, it is even more pronounced.",N/A,spell_9SYzDMOlk8ONj
GARLYTH’S PRIMEVAL HUNGER,LEGENDARY,28,ALCHEMY,CREATIVITY,NO,NO,"Your hunger for potions and their power is insatiable. On a success, you can metabolize up to 3 potions at once for the next 6 hours, and if anyone around you has potion benefits active, you gain them as well. Side effects may include eating everything you see. Garlyth takes no responsibility for it.","You can metabolize (3/3/4/4/5) extra potions, and take a +2/degree bonus to your Metabolize rolls for this time.",spell_10wgXfT2UjghN0
DECONSTRUCT,STANDARD,N/A,ALCHEMY,CREATIVITY,YES,NO,"Pours a brilliant lavender fluid-like magic from the tip of your wand into a potion, which breaks it down immediately. Roll against the Intensity Rank of the potion you use this on. On success, you break the potion down, destroying it and obtaining a number of materials equal to 50% of its materials cost.",You obtain (50/60+)% of the base material cost.,spell_11JEvX60EeP5Tz
