NAME,LEVEL,SUBJECT,COST,INTENSITY,SKILL,DC,DESCRIPTION,ID
GOLEM’S CROWN,BASIC,RUNOLOGY,1500,28,ENDURANCE,5,"A thin, brassy diadem lined with intricate runes, and a clear band running through the middle that lights up with a liquid gold glow when activated. Touch the Crown and roll Endurance, DC5, after which time it activates for 30 seconds per degree of success, flooding your body with the resolute force of a stone golem. While active, you are immune to Doubt, and you can move at twice your normal speed, and if you are moving at top speed, you become encased with a spectral golden barrier covered with runes that protect you from anything in front of you. Any physical object will not harm you, and any spell must beat your artifact check + 10 in order to get through the barrier, ending the artifact effect early if it does. The artifact becomes inert for an hour afterwards, unable to be activated again.",artifact_2QUiQcpYej0YF
POCKET OF ENCHANTMENT,BASIC,ENCHANTMENT,2000,26,IMPROVISE,5,"A small velvet drawstring bag with intricate designs marked in gold. You can draw out a pinch of a fine shimmering crystal dust at any time and sprinkle it on top of an enchanted object, rolling Improvise, DC5, and on success, you may place a second enchantment on the object, which will last for 10 minutes per degree of success on the artifact check. The use of this artifact counts as the 100 materials needed to place the enchantment. The two enchantments on the object may interact in unpredictable ways, but if you’re an enchanter, you’re probably used to things acting weirdly.",artifact_3qAeABvjMq0qA
CREEPING SHADOW,BASIC,ILLUSION,1800,28,CONCENTRATION,10,"A pair of stylish black lace gloves with tiny runes woven into the fingertips. If you stand still in one place for 5 minutes, then at the end of that time, you can roll Concentration, DC10 and become invisible for one minute per degree of success, as long as you continue holding still. You can repeat the roll at the end of the time period to remain invisible, but if you backfire, you become briefly visible.",artifact_42L6xud5hbJ9Q
WISHING VIAL,BASIC,ALCHEMY,1700,28,IMPROVISE,9,"A small, crystalline decanter that shimmers with a clear fluid inside. Once per day, you can roll Improvise, DC9 to speak a command word and pour it into a vial, instantly creating any potion of 50 materials for free. On 3 or more degrees of success, you instantly create any potion of 100 materials or less for free.",artifact_5toOAMfv4BRmv
THORN MASTER’S CRADLE,BASIC,HERBALISM,1600,29,WILLPOWER,16,"A set of twisted, interlaced weaves that look like brambles, worn on each arm, that glow with a faint green light when activated. While this artifact is equipped, your cultivation capacity increases to 100 * your Herbalism ranks, and you can sense anytime anybody is close to any of your cultivated plants, although you can’t tell who it is. You can activate this artifact and roll Willpower, DC16 or versus the Intensity Rank of a target plant, if applicable, to either take psychic control of a plant in sight or of any of your cultivated plants, for 5 minutes.",artifact_62qfLA72zxhnd
ARITANA’S SEAL,BASIC,RUNOLOGY,1500,30,INVESTIGATE,15,"A small ring in a dark, enchanted metal with a soft shimmering green color, it lights up with ancient runic designs when you channel its power to create a rune. While this artifact is equipped, you can take an extra degree of success to every Runic Blessing you cast, and any time you create a rune, you can roll Investigate, DC15 to feel the rune’s possibilities. On success, the GM will present two possible outcomes for what the rune will do, and you can choose between them. Extra degrees of success add more options for you to choose from.",artifact_7SkxMGOkj3ZQf
WANDMASTER’S EYE,BASIC,WANDCRAFTING,2000,29,READ PERSON,15,"An intricate, finely designed frame worn along one ear and over one eye, with a ring of solid lunar platinum in it. While this artifact is equipped, you can take a +2 to Wandcrafting, and you can roll Read Person, DC15 to glean one piece of information per degree of success about a person whose wand you can see. You can’t choose what kind of information it is you get, so sometimes you will get information that you don’t want to know.",artifact_8VsGsKqu2MSPI
AVIDAR’S LIQUID SKIN,BASIC,EVOCATION,1800,31,ENDURANCE,13,"A pair of dark turquoise gloves that slip on with a skintight fit and feel cool and slightly wet to the touch. While this artifact is equipped, you can touch anything regardless of how hot it is, and you can activate the artifact by rolling Endurance, DC13. On success, the gloves expand to cover your whole body with a slick second skin that lets you breathe underwater, move at running speed in any direction underwater, and as long as you stay still, become invisible while underwater. This effect lasts indefinitely, but it ends if you ever spend 1 minute out of the water at a time.",artifact_9vDqc9fjQOBDq
CELESTIAL GIFT,BASIC,RESTORATION,1500,34,WIN OVER,14,"A pair of pure white bangles that always feel pleasantly cool to the touch. While this artifact is equipped, people tend to be more soothed and relaxed around you. You can also touch somebody and roll Win Over, DC14, giving them a +4 to one type of Resist check of your choice per degree of success for the next hour. When you use this ability on someone, the celestial magic effect can leave them feeling oddly enamored with you until it ends, although any PC can choose not to be affected. The magic also makes your skin softer and smoother while the bangles are equipped, so it’s popular with the influencer girlies who like to then pretend they have a great skincare routine and sell you something.",artifact_10PP18XPfU3eQV
KALON’S CHAIN,BASIC,TELEKINESIS,1900,33,CONCENTRATION,15,"A set of small chains you can keep affixed anywhere on your person that glow vermillion when used. While this artifact is equipped, you can telekinetically draw any object towards you, as a spectral chain connects between you and the target object reeling it in. This pull is weak and cannot get past any meaningful resistance, but you can roll Concentration, DC15 to wrench objects more firmly towards you, breaking through obstacles or out of the grasp of anything that doesn’t beat your check.",artifact_11DEO9KRiy8L80
