NAME,VALUE,INTENSITY,SINGLE-USE,DESCRIPTION,ABILITY,ID
GLOOMLEAF,100,15,NO,"A plant with long, drooping, faded green leaves that have striking white lines along them, giving the appearance of a skeleton. The plant grows around a center bud that blossoms a brilliant violet flower, but the flower releases a burst of poison gas when touched.","Once per day, you can harvest the plant’s natural poisons to obtain a Blackblood Brew poison.",plant_2SPm9YCQTT96Y
STARBLOOM CLOVER,200,18,NO,"A small bundled plant that grows in places that only get indirect sunlight, with distinctive golden lines radiating up the thin stalks. They have strong inherent divination magic, and are easiest to identify by touching them and seeing if you get visions.","Once per day, you can use the plant to get a vision of something to come, as in the spell Lilibel’s Little Promise.",plant_35deYRO5eY6O3
GALYR’S TOOTH,100,11,YES,"A ghostly-white plant that hangs along the tops of rocky walls, with long fanglike leaves that droop down. The favorite snack of cave beaks, they have gentle restorative properties, but only if crushed.",You can consume this plant to restore a stack of any condition you choose. This does not require a roll.,plant_4mv4zIsJ3KXiJ
HERRERA’S SILK SNAG,500,27,NO,"A thoroughly ugly plant that looks like moldy food, with thick, fuzzy growths in odd, blotchy colors. A skilled herbalist can pick out the seed pods, which can be cleverly popped open to reveal a precious magical silk that’s much more beautiful than the plant itself. If done uncleverly, though, it explodes, and worse, still looks ugly.","Once per day, you can harvest 250 materials from the plant. If you fail, you must Resist, DC10.",plant_5bh9Mbpt89shL
WHISPERING WORMWOOD,750,15,NO,"A deep, charcoal-colored tree that grows in every direction with spindly branches covered in thick, sage-green bundles like wormwood rich with deep enchantments. Thin swirls of golden magic stream around the tree from one flowering bundle to the next, and if you stand close enough, you can hear the faint shimmering sound of it like distant bells. Rich with tychomantic energy, the golden magics bring good luck.","Once per day, you can harvest a tychomantic enchantment from the tree, which you can redeem at any point over the day to replace any die with a 10 on any roll. Backfires and improvement rolls are still processed with the original rolls.",plant_6v55cbTBqFqth
VASHNAR’S BLACK IVY,250,19,NO,"A thin, knotted plant that looks like ivy, and is actually normally-colored, but is filled with a light, thin sap that’s unnaturally black, thick with demonic energies. It is not recommended to drink it, but I guess you could.","Once per day, you can collect a tincture from the plant. You can use this tincture either on a small, nonmagical object to corrupt it into a demonic version, or spend it while casting a Basic or Standard Demonology spell to add one degree of success. If you fail the roll to collect the tincture, you still collect it, but you must Resist, DC15.",plant_76Zhdv88KM6o4
WOLF WEED,50,7,NO,"A thick bundled plant with long, jagged-edged leaves. The leaves, if broken down, can be ground into a valuable powder. They can also be smoked, which will make you see God and give you a headache that can kill God.","Once per day, you can either collect 50 materials or spend an hour to collect 150 materials.",plant_8rJnct5LyH11Z
PASSIONOAK,10000,8,NO,"A precious, legendary tree that feeds on love, joy, hope, and other beautiful things, which means, you know, they’re pretty rare. It’s extremely difficult for a passionoak to make it to adulthood, but if it does, it’s nearly impossible to kill. They’re emblematic of love, peace, and hope, with beautiful red bark and shimmering golden leaves.","Once per week, you can draw on the tree’s magic to either make an improvement roll at DC10 in any subject or instantly learn any Basic or Standard spell.",plant_9P8WUPBFQJOMf
TOMB LEAF,100,17,NO,An eerie ash-gray bushy plant that grows close to places where magical people or creatures have died. Touching them for too long will leave you feeling a deep malaise.,"Once per day, you can draw out the necromantic energies in the plant, giving you a necromantic enchantment over the day you can spend at any point to cast Raise Dead or Wither. You can roll these spells with Herbalism instead of Necromancy, if you choose.",plant_107B4njvNZLteZ
BEETLEBUSH,80,11,NO,"A small, bushy plant that grows in brilliant red, gold, and blue colors, all shiny and hard to the touch like a beetle’s carapace. These colorful shoots can be snapped at the base, which causes them to shoot off with a magic burst, which is a good way to lose an eye if you’re blindly picking stuff in the woods.","You can bring this plant with you. When you do, you can use the Beetlebush move at will: roll Herbalism, DC11, and on success, a target must roll Agility or Endurance versus your check or Resist. This move can backfire like a Standard spell.",plant_1106l7UTldbcMY
SNAGWEED,100,15,NO,"A long, spindly vine that grows tiny, multicolored blossoms along the length of it when it’s treated well. They’re known for having a lot of personality, liking to crawl over a person and snuggle them. Just be careful they don’t snuggle your neck.","You can bring this plant with you. When you do, you can use the Snagweed move at will: roll Herbalism, DC15, and on success, you can either grab onto an object up to five meters away and pull with enough force to lift you up if you latch onto a high point, or force a target to roll Agility versus your check or be ensnared.",plant_12KsYFf68j7lkL
NARA’S DEATH ROSE,150,13,NO,"A black-and-white rose-like flower with drooping petals and striking coloration. You can pluck a petal, which will make it spill a red fluid like blood. Despite how deeply gothic this flower is, it actually has restorative powers and the fluid is a sweet sap that tastes like marshmallow.","Once per day, you can draw out the fluid and take it to gain the effects of the Sate spell. You can choose to either take one degree of success without rolling or roll to get as many degrees of success on the Sate effect as you get on the roll, but if you fail the roll, the plant is destroyed.",plant_13Y3PHi9cA2NkB
WISHBLOOM SAGE,250,14,NO,"A delicate plant that grows upwards in long spirals with pale-green leaves that have a sage-like fuzz on them, that when rubbed away, forms a shimmering, magical substance with hypnomantic energies. Snacking on the leaves is a good way to fall asleep, just, you know, for like, twenty-four hours.","Once per day, you can harvest the plant’s magic dust to obtain a Sleep potion.",plant_14x6ceHoYxFr4P
DEMONCREEP,100,10,NO,"A striking red-and-black plant with a tightly-wound core and stalks that branch off in sharp zigzags, they thrive in cracks in rock formations, where they lie in wait before their stalks flick and snatch tiny insects to drain their life away. Imbued with demonic energies, the stalks have historically been woven into ceremonial garb of local shamans who have been unlucky enough to find demonological magic plants before other magic plants.","Once per day, you can harvest the plant’s natural demonic energies to gain insight as if rolling the spell Demon’s Insight with 3 degrees of success.",plant_15zHrg5gshcVbV
WEEPING BELLBLOSSOM,100,14,NO,"A plant with beautiful blue-and-white bell-shaped blossoms that droop low, famously like they have their heads down in mourning. They’re often used as symbols of sadness, but the nectar that can be drawn from the blossoms is useful enough for wandcrafting that wandcrafters just get excited at funeral displays and stuff when people have them out, which gets a bit awkward.","Once per day, you can use this plant while performing a check to craft or repair a wand and take a +4 bonus to the check. This does not require a roll.",plant_16MQzJS5VynLZq
AVALI’S RAINBLOOM,250,24,NO,"A mystical plant rich with transmutation energies, the entire shape and form of the plant shifts from one day to the next, making it notoriously hard to identify, but its flowers revert to their true form of tiny many-petaled purple blossoms if sprinkled with water like a light rain.","You can bring this plant with you. When you do, you can use the Rainbloom move at will: roll Herbalism, DC17, and on success, you can change the shape of up to one pound of material per degree of success, including creating a hole. This move can backfire like a Standard spell.",plant_17IzN5dk1BlUWN
NEPHERA’S ENVY,400,10,NO,"A red-orange flower like spider lilies with long stems that seem to reach for something, like a grasping hand. It’s actually a complete coincidence that it’s rich with telekinetic magic, but it makes it easy to identify. Exerts a long, slow pull on other plants around it to influence them to grow closer and share their nutrients.","Once per day, you can draw on the magic of the plant to give an object up to five pounds a telekinetic enchantment for 24 hours. An object enchanted this way will remain under your rough telekinetic control, moving slowly in three dimensions and obeying your psychic directions.",plant_18kmrtr56NFEYX
